Name;Prize;05/27/2022;06/01/2022;06/14/2022;07/03/2022;07/11/2022;07/18/2022;07/25/2022;08/01/2022;08/08/2022;08/22/2022;09/05/2022;09/12/2022
iPhone 13 128GB;299490.0;299490.0;312490.0;310990.0;311000.0;314990;318990;319490;318001;315490;315900;318880;323600
iPhone 11 64GB;186980.0;186980.0;186380.0;188900.0;194490.0;200990;198990;199400;201980;198390;195480;196880;195990
iPhone 12 64GB;230890.0;230890.0;231490.0;241490.0;241490.0;243480;247990;251490;251490;250909;249900;252490;252490
iPhone 13 Pro 128GB;387980.0;387980.0;394999.0;395500.0;404991.0;402990;412000;415500;414100;411490;411000;409000;411000
iPhone 13 mini 128GB;275490.0;275490.0;275990.0;279990.0;279480.0;270990;274990;273490;271900;269990;268890;269781;273480
iPhone 12 128GB;255980.0;255980.0;262790.0;269490.0;274990.0;284990;278990;284990;285490;284880;281990;283980;284490
iPhone 12 mini 64GB;205800.0;205800.0;205790.0;211490.0;213350.0;216900;219491;219490;219901;219900;219990;221400;220700
iPhone SE (2022) 64GB;169990.0;169990.0;173000.0;173990.0;161700.0;168490;168490;171490;171990;171990;169490;168490;171290
iPhone 13 Pro Max 128GB;432500.0;432500.0;431999.0;427690.0;446990.0;441900;449990;449100;449990;447000;450000;443900;452200
iPhone SE (2020) 64GB;136490.0;136490.0;139490.0;141990.0;141490.0;141490;141490;140990;142800;141990;144990;146990;156890
iPhone 11 128GB;207970.0;207970.0;209490.0;210290.0;222490.0;226290;227990;227990;226890;225480;217377;223990;223490
iPhone XR 64GB;157450.0;157450.0;157450.0;162500.0;163890.0;163690;167990;167490;167990;161738;163890;163376;161770
iPhone SE (2022) 128GB;184490.0;184490.0;179990.0;186890.0;185490.0;187990;194390;192630;191990;194990;202990;192800;198280
iPhone 12 mini 128GB;221970.0;221970.0;222970.0;231890.0;235391.0;236990;237490;241490;241490;243490;242990;242480;242990
iPhone 12 Pro 128GB;364999.0;364999.0;359990.0;370000.0;375900.0;375900;418490;;418000Ft;418000Ft;;432490;456590
iPhone 12 Pro Max 256GB;411000.0;411000.0;411000.0;412490.0;419990.0;424900;424900;449990;462990;415211;552200;479000;479000
iPhone 13 256GB;329000.0;329000.0;331000.0;328890.0;328890.0;331490;334490;332700;337890;331700;328990;342990;342990
iPhone 13 Pro 256GB;420190.0;420190.0;422290.0;439890.0;425400.0;442790;448100;449990;449999;449990;449990;449990;448500
iPhone 13 Pro Max 256GB;462260.0;462260.0;467710.0;474800.0;487200.0;489990;489000;487000;487000;499990;499990;499990;500500
iPhone SE (2020) 128GB;146990.0;146990.0;146990.0;146990.0;146890.0;94820;109920;152300;152300;152300;152300;159990;163000
iPhone 11 Pro 64GB;320000.0;320000.0;326000.0;326000.0;;;;;;;;;
iPhone 7 256GB;120000.0;120000.0;;119000.0;119000.0;119000;126000;126000;126000;126000;;;
iPhone 12 Pro Max 128GB;415000.0;415000.0;412100.0;419990.0;419990.0;435900Ft;435900Ft;429900;429900;429900;489890Ft;;
iPhone 13 mini 256GB;308990.0;308990.0;302980.0;309390.0;310510.0;303990;309480;309490;309490;300490;299780;309880;310490
iPhone 11 Pro Max 64GB;369000.0;369000.0;369000.0;406699.0;333790.0;406699;406699;406699;379990;406699;;;
iPhone XR 128GB;195890.0;195890.0;195890.0;195900.0;213900.0;241900;;;;;;;
iPhone 12 256GB;278000.0;278000.0;278000.0;294990.0;309990.0;328790;329989;329989;329989;329989;329999;379990;324990
iPhone 12 Pro 256GB;359490.0;359490.0;359490.0;372490.0;380400.0;381490;381990;374990;384200;388900;388900;438999Ft;
iPhone 13 512GB;341000.0;341000.0;341000.0;344890.0;362600.0;362990;360500;363000;363000;362990;360000;370000;369980
iPhone XS 256GB;237100.0;237100.0;227000.0;;;;;;;;;;
iPhone 13 Pro Max 1TB;615000.0;615000.0;622000.0;649990.0;634990.0;659990;632990;632990;649990;649990;629990;651000;639422
iPhone 12 mini 256GB;248600.0;248600.0;248590.0;254000.0;247500.0;255000;269990;258900;264990;252990;284990;248600;299490
iPhone 11 256GB;262880.0;262880.0;262880.0;261990.0;262890.0;262890Ft;;;;;;;
iPhone SE (2022) 256GB;235990.0;235990.0;235990.0;235990.0;244900.0;244900;244900;249410;237490;237000;224980;224100;222554
iPhone 13 Pro Max 512GB;529990.0;529990.0;526990.0;535000.0;555900.0;567060;567060;567990;567110;566500;567000;567000;567000
iPhone 13 mini 512GB;336949.0;336949.0;337490.0;324990.0;327990.0;327990;334990;327990;335800;335800;327500;312100;317900
iPhone 13 Pro 512GB;486990.0;486990.0;500000.0;495899.0;499600.0;510000;519990;515020;539990;516078;544900;539990;539990
iPhone 11 Pro 256GB;433599.0;433599.0;433599.0;433599.0;433599.0;433599;433599;433599;433599;433599;;;
iPhone 11 Pro Max 256GB;473799.0;473799.0;473799.0;473799.0;473799.0;473799;473799;473799;473799;473799;;;
iPhone 11 Pro Max 512GB;617499.0;617499.0;617499.0;617499.0;617499.0;617499;617499;617499;617499;617499;;;
iPhone SE (2020) 256GB;194990.0;194990.0;204790.0;180290.0;170749.0;177890;176190;173990;189990;205290;164990;207890;179795
iPhone 13 Pro 1TB;545990.0;545990.0;541990.0;551000.0;579990.0;599990;634990;634990;569990;559990;576969;572700;569990
iPhone 12 Pro 512GB;379990.0;379990.0;459990.0;459990.0;381990.0;387300;381990;372990;384990;371990;370000;484590;484590
iPhone 12 Pro Max 512GB;448989.0;448989.0;448989.0;500990.0;499900.0;449890;449990;434990;442980;441900;441900;441890;441890
iPhone 11 Pro 512GB;564999.0;564999.0;564999.0;564999.0;564999.0;564999;564999;564999;564999;564999;;;
iPhone 8 64GB;;;;;196690.0;196690Ft;199190Ft;199190Ft;199190Ft;194290Ft;199190Ft;196690Ft;196690Ft
iPhone 8 128GB;;;;;133000.0;133000Ft;133000Ft;133000Ft;133000Ft;133000Ft;;135990Ft;135990Ft
iPhone 8 256GB;;;;;145000.0;145000Ft;145000Ft;145000Ft;145000Ft;145000Ft;;147990Ft;147990Ft
iPhone XS 64GB;;;;;;;;;;;203068Ft;;200929Ft
